Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,129965;0,210110;0,356809;5,004521;6275,539363;15174012835,763890;0,002047;0,198483;2,945547;0,087782;0,269028;0,883041;0,174966;0,155305;0,029412
2;0,175270;0,182160;0,306358;5,036719;6392,909536;13656436037,500618;0,003210;0,250000;4,069026;0,070581;0,235777;0,793602;0,131252;0,113847;0,027370
3;0,154552;0,194610;0,326531;5,019490;6337,704041;14213110320,184132;0,003029;0,234779;3,632307;0,078282;0,248249;0,830865;0,147513;0,126869;0,034114
4;0,148319;0,197710;0,337995;5,013084;6323,934551;14518757665,232430;0,002356;0,225313;3,399773;0,078342;0,259653;0,851100;0,170969;0,125302;0,026104
5;0,168592;0,185000;0,312963;5,022867;6378,838183;14082065426,805264;0,002644;0,250000;3,794277;0,069739;0,243224;0,803516;0,147029;0,108959;0,029471
6;0,144188;0,200660;0,339422;5,011827;6311,761928;14584521501,989565;0,002644;0,219263;3,345777;0,081279;0,258143;0,865107;0,162736;0,127112;0,021405
7;0,135468;0,206900;0,350183;5,003365;6287,118304;15119885928,872997;0,002908;0,206266;3,039607;0,082384;0,267799;0,868421;0,189117;0,135867;0,024096
8;0,156322;0,193210;0,326999;5,013209;6342,723655;14425093215,350025;0,002715;0,237292;3,548324;0,072452;0,254547;0,833046;0,144635;0,135004;0,026087
9;0,118122;0,218190;0,369817;4,999485;6242,307793;15522636943,610432;0,002129;0,180623;2,698198;0,093496;0,276321;0,883287;0,199596;0,183690;0,022059
10;0,105046;0,226680;0,390073;4,994977;6208,107694;15923404780,876598;0,001829;0,160996;2,426596;0,098457;0,291616;0,903337;0,248989;0,176068;0,027425
11;0,122903;0,214000;0,366420;5,000444;6257,512880;15444678904,535278;0,001652;0,187367;2,745311;0,090135;0,276285;0,886028;0,199463;0,162293;0,024749
12;0,189792;0,174730;0,291527;5,052779;6428,284692;13244717945,369087;0,003913;0,250000;4,418937;0,065956;0,225571;0,779696;0,109993;0,098308;0,028763
13;0,123981;0,214330;0,366866;5,000226;6257,923875;15439076777,345625;0,001700;0,189506;2,780508;0,088011;0,278855;0,892536;0,210084;0,145674;0,029392
14;0,147757;0,197910;0,333198;5,013707;6324,092466;14472098138,272966;0,002426;0,224542;3,423604;0,081448;0,251750;0,853851;0,148522;0,130890;0,023458
15;0,126984;0,212690;0,362428;5,003073;6266,030008;15280071983,775291;0,002782;0,194176;2,881358;0,087182;0,275246;0,892218;0,182521;0,159549;0,027480
16;0,206391;0,165710;0,282541;5,078595;6473,848214;12370254884,406248;0,002169;0,250000;5,014134;0,063112;0,219428;0,756048;0,113416;0,082192;0,024048
17;0,127118;0,211730;0,353898;5,006290;6267,838255;15100526142,311680;0,002531;0,193966;2,951974;0,093099;0,260799;0,880969;0,182676;0,141020;0,028801
18;0,156607;0,192720;0,325428;5,021709;6345,669967;14075564424,089655;0,001948;0,237926;3,705225;0,078139;0,247289;0,835112;0,141176;0,130924;0,026052
19;0,122001;0,215080;0,367123;5,001405;6253,808716;15432688275,216274;0,002489;0,186233;2,750276;0,091223;0,275901;0,890840;0,211234;0,147984;0,024032
20;0,144514;0,199720;0,341743;5,009091;6315,576224;14733437599,736135;0,001934;0,219616;3,253797;0,079433;0,262310;0,861311;0,164817;0,133896;0,027388
21;0,134006;0,207330;0,348674;5,007301;6287,053281;15045267189,833410;0,002688;0,204564;3,049255;0,087575;0,261099;0,875345;0,175008;0,135922;0,026702
22;0,153115;0,195050;0,329674;5,010743;6335,485028;14586252832,976042;0,002336;0,232482;3,436039;0,074413;0,255261;0,837193;0,160498;0,123890;0,024766
23;0,148545;0,198440;0,338543;5,011041;6321,684970;14611923365,666298;0,002168;0,225779;3,381437;0,075604;0,262939;0,855022;0,165378;0,131134;0,027406
24;0,160670;0,190870;0,319317;5,022838;6355,152602;14134330721,352585;0,001674;0,244412;3,743757;0,076072;0,243246;0,815300;0,145497;0,122573;0,028075
25;0,155754;0,193530;0,325142;5,016543;6344,550121;14283243254,338917;0,002377;0,237009;3,590505;0,076564;0,248578;0,837707;0,153898;0,114021;0,023427
26;0,139484;0,203240;0,344537;5,005762;6302,384380;14995886109,166386;0,001995;0,212481;3,110972;0,082250;0,262287;0,862569;0,164651;0,150806;0,020722
27;0,152371;0,195490;0,326018;5,016216;6333,062288;14336686801,501047;0,003024;0,231300;3,540984;0,079651;0,246368;0,836495;0,157273;0,109815;0,030100
28;0,135268;0,206760;0,349853;5,007764;6288,300806;14912307316,869026;0,003155;0,206372;3,124337;0,085813;0,264040;0,878192;0,166667;0,147640;0,025435
29;0,151300;0,195590;0,333638;5,011072;6332,042521;14530009915,992847;0,002139;0,229490;3,419906;0,075246;0,258392;0,856061;0,154053;0,124900;0,023427
30;0,152070;0,195860;0,332014;5,015157;6333,674933;14457130744,905546;0,003480;0,231237;3,478859;0,076814;0,255200;0,838942;0,159542;0,125908;0,028782
