Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,230889;0,196550;0,331507;5,147970;6622,595125;16169071441,936073;0,002615;0,250000;5,188322;0,082598;0,248909;0,816993;0,165826;0,142857;0,029530
2;0,282546;0,170160;0,284772;5,205307;6746,577505;13842653633,037165;0,003042;0,250000;7,187418;0,065436;0,219337;0,738324;0,123781;0,104158;0,020736
3;0,273540;0,175870;0,296424;5,202045;6721,955576;13971248333,965988;0,002503;0,250000;7,015283;0,069800;0,226623;0,754555;0,136775;0,116485;0,022697
4;0,257966;0,183070;0,306201;5,179716;6683,649667;14934098346,587772;0,002946;0,250000;6,233610;0,073886;0,232315;0,781680;0,152862;0,100685;0,028743
5;0,252964;0,185360;0,313451;5,172462;6674,474825;15242487243,396938;0,003386;0,250000;5,945921;0,074052;0,239399;0,770526;0,171880;0,117386;0,030100
6;0,246211;0,189970;0,313275;5,172546;6652,739093;15199995237,675790;0,003261;0,250000;5,970446;0,081622;0,231653;0,777509;0,155219;0,134600;0,022742
7;0,236632;0,194600;0,331239;5,157130;6632,049630;15816595855,928513;0,002290;0,250000;5,473247;0,078654;0,252585;0,807560;0,170854;0,150364;0,024048
8;0,244026;0,190320;0,320004;5,165627;6650,766283;15523021095,802473;0,002622;0,250000;5,733456;0,078859;0,241145;0,791953;0,161497;0,134623;0,024700
9;0,252554;0,186470;0,311769;5,170315;6668,168107;15403364737,115553;0,003444;0,250000;5,928714;0,072831;0,238938;0,772822;0,153612;0,138486;0,020764
10;0,209903;0,208290;0,355765;5,124911;6570,371842;16946740290,003784;0,002024;0,250000;4,581208;0,086886;0,268879;0,854978;0,192593;0,163849;0,029431
11;0,240535;0,191950;0,321312;5,159791;6643,488254;15756650210,241316;0,002748;0,250000;5,539018;0,080049;0,241264;0,798343;0,160672;0,130347;0,033445
12;0,286687;0,168430;0,277902;5,215523;6759,142533;13476483010,973724;0,003071;0,250000;7,484417;0,068588;0,209314;0,727335;0,119799;0,094279;0,025452
13;0,228296;0,198460;0,336986;5,144597;6613,335674;16266833646,303837;0,001649;0,250000;5,135354;0,080771;0,256215;0,822960;0,196309;0,128967;0,023427
14;0,245482;0,189150;0,319656;5,168474;6656,615146;15366950381,771350;0,001558;0,250000;5,814740;0,079331;0,240324;0,801858;0,158725;0,128267;0,021390
15;0,218439;0,202860;0,344856;5,135012;6593,067284;16574434840,055360;0,001761;0,250000;4,828447;0,086265;0,258591;0,834938;0,182734;0,155332;0,029431
16;0,273487;0,175130;0,296644;5,206955;6724,738633;13629132275,367619;0,002340;0,250000;7,169443;0,073075;0,223570;0,752821;0,139363;0,111826;0,026035
17;0,256063;0,183590;0,309671;5,181170;6682,557986;14845801025,146950;0,001421;0,250000;6,224875;0,076658;0,233013;0,776749;0,152094;0,121017;0,026087
18;0,263833;0,180600;0,301259;5,188791;6697,906946;14525466144,354738;0,003366;0,250000;6,555004;0,072777;0,228482;0,767081;0,140693;0,116606;0,024733
19;0,222512;0,201090;0,337666;5,138865;6601,222667;16416527358,223482;0,003320;0,250000;4,963770;0,085508;0,252158;0,831789;0,176630;0,139338;0,022712
20;0,228777;0,198610;0,337865;5,147932;6613,752445;16125513719,324291;0,003102;0,250000;5,217689;0,081372;0,256494;0,824888;0,181298;0,142742;0,028763
21;0,227759;0,197950;0,335531;5,144504;6615,833580;16274248715,885220;0,001806;0,250000;5,090151;0,083477;0,252054;0,827776;0,173154;0,144359;0,018036
22;0,230257;0,196240;0,336544;5,144283;6620,939783;16287865377,090004;0,002523;0,250000;5,108960;0,079396;0,257149;0,813123;0,188508;0,146312;0,018742
23;0,248758;0,188550;0,317688;5,167968;6661,986610;15493423037,672968;0,003243;0,250000;5,821448;0,074266;0,243422;0,784584;0,162445;0,128577;0,031438
24;0,242609;0,190130;0,319700;5,162573;6651,731555;15654748003,021381;0,002159;0,250000;5,608437;0,080686;0,239013;0,785468;0,172611;0,132365;0,018679
25;0,254945;0,185720;0,311778;5,183459;6674,419627;14768501336,568740;0,002232;0,250000;6,307016;0,076728;0,235050;0,787088;0,154079;0,114873;0,026774
26;0,226693;0,198480;0,334112;5,142961;6613,174867;16371654647,607769;0,002438;0,250000;5,041231;0,084264;0,249848;0,816867;0,170715;0,152638;0,022029
27;0,265628;0,178890;0,299178;5,188413;6703,976958;14560170095,103235;0,003251;0,250000;6,532665;0,071827;0,227351;0,764018;0,150404;0,100322;0,021390
28;0,241834;0,191760;0,320943;5,163445;6644,424557;15553763165,673525;0,003167;0,250000;5,686115;0,079829;0,241113;0,798209;0,160552;0,130856;0,027425
29;0,242848;0,190590;0,323365;5,163740;6648,818540;15511918881,818935;0,002929;0,250000;5,683637;0,078155;0,245210;0,793977;0,172902;0,131696;0,020094
30;0,238571;0,193460;0,325452;5,160809;6637,350910;15766006764,487593;0,002385;0,250000;5,547041;0,080881;0,244571;0,796692;0,168962;0,138362;0,032754
