Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,235076;0,918070;0,139560;3,197499;4250,000000;3474025566,393481;0,409104;0,040000;0,300000;0,124908;0,014652;0,647986;0,006637;0,008889;0,000000
2;-0,235780;0,905650;0,149154;3,278193;4250,000000;3321730899,467365;0,455811;0,040000;0,300000;0,122006;0,027148;0,673469;0,004107;0,002868;0,000000
3;-0,237802;0,891340;0,177479;3,349425;4250,000000;3197120901,987983;0,482499;0,040000;0,300000;0,122606;0,054873;0,713604;0,022642;0,009821;0,000000
4;-0,235133;0,899690;0,149059;3,294137;4250,000000;3292384372,136056;0,456534;0,040000;0,300000;0,119004;0,030055;0,663889;0,009766;0,007042;0,000000
5;-0,235196;0,888890;0,163366;3,338249;4250,000000;3220074135,168665;0,461264;0,040000;0,300000;0,116062;0,047305;0,672093;0,010676;0,008319;0,000000
6;-0,232233;0,905450;0,131773;3,262955;4250,000000;3356555417,787572;0,446165;0,040000;0,300000;0,108047;0,023726;0,622047;0,011215;0,009355;0,000000
7;-0,234409;0,919690;0,135676;3,208476;4250,000000;3450445164,614050;0,430683;0,040000;0,300000;0,115268;0,020408;0,622776;0,006438;0,006993;0,000000
8;-0,235025;0,899890;0,152200;3,301479;4250,000000;3291132504,993933;0,453760;0,040000;0,300000;0,115831;0,036369;0,663029;0,005597;0,008403;0,000000
9;-0,233930;0,918700;0,135455;3,200414;4250,000000;3470484148,993257;0,406945;0,040000;0,300000;0,119911;0,015544;0,615917;0,010417;0,005562;0,000000
10;-0,234121;0,932460;0,128403;3,131293;4250,000000;3598118859,555378;0,397527;0,040000;0,300000;0,119782;0,008621;0,620455;0,012376;0,006840;0,000000
11;-0,235558;0,917660;0,145374;3,213281;4250,000000;3442231859,619803;0,420259;0,040000;0,300000;0,122981;0,022394;0,662045;0,013825;0,008584;0,000000
12;-0,235129;0,900950;0,148466;3,283002;4250,000000;3312823448,741455;0,447671;0,040000;0,300000;0,120552;0,027914;0,641096;0,010791;0,009294;0,000000
13;-0,235292;0,932220;0,136833;3,144590;4250,000000;3570639090,135903;0,403152;0,040000;0,300000;0,123822;0,013010;0,628998;0,005450;0,010811;0,000000
14;-0,235256;0,905860;0,144287;3,265617;4250,000000;3342404267,469626;0,451907;0,040000;0,300000;0,117818;0,026469;0,661631;0,009728;0,003766;0,000000
15;-0,232329;0,906020;0,134289;3,252072;4250,000000;3380376030,503889;0,429452;0,040000;0,300000;0,109192;0,025098;0,628931;0,007067;0,007790;0,000000
16;-0,237880;0,865820;0,204545;3,432307;4250,000000;3052393704,641651;0,506564;0,040000;0,300000;0,118182;0,086364;0,747960;0,035427;0,006038;0,000000
17;-0,236086;0,896710;0,161377;3,318626;4250,000000;3249647732,981610;0,476566;0,040000;0,300000;0,116168;0,045210;0,693824;0,007692;0,006323;0,000000
18;-0,235449;0,870270;0,187867;3,423815;4250,000000;3073530580,710648;0,501921;0,040000;0,300000;0,110078;0,077789;0,726738;0,017518;0,010590;0,000000
19;-0,232395;0,913750;0,129494;3,226174;4250,000000;3419773704,304638;0,420649;0,040000;0,300000;0,110646;0,018848;0,602310;0,002062;0,005219;0,000000
20;-0,236326;0,906540;0,152724;3,267868;4250,000000;3342981760,389176;0,440758;0,040000;0,300000;0,124189;0,028534;0,648459;0,012422;0,001932;0,000000
21;-0,232702;0,917390;0,133115;3,205955;4250,000000;3459493757,398529;0,425133;0,040000;0,300000;0,111233;0,021882;0,625874;0,006508;0,004310;0,000000
22;-0,233603;0,910260;0,139314;3,256618;4250,000000;3369018956,289366;0,443729;0,040000;0,300000;0,111791;0,027523;0,641935;0,009843;0,007078;0,000000
23;-0,233932;0,893150;0,157773;3,337174;4250,000000;3231319571,709541;0,478368;0,040000;0,300000;0,107019;0,050754;0,679076;0,013333;0,006329;0,000000
24;-0,236893;0,908800;0,153132;3,257394;4250,000000;3356194553,353596;0,440337;0,040000;0,300000;0,126947;0,026185;0,656433;0,012500;0,006924;0,000000
25;-0,235569;0,885900;0,169357;3,364657;4250,000000;3175250415,911392;0,490494;0,040000;0,300000;0,111902;0,057456;0,696262;0,020183;0,009756;0,000000
26;-0,230200;0,921770;0,115490;3,182205;4250,000000;3512675840,169860;0,418306;0,040000;0,300000;0,101053;0,014436;0,557769;0,008368;0,013825;0,000000
27;-0,238428;0,889790;0,177734;3,340122;4250,000000;3207711502,191843;0,469389;0,040000;0,300000;0,128069;0,049665;0,713626;0,011650;0,010870;0,000000
28;-0,230981;0,909970;0,122463;3,237034;4250,000000;3405914982,548470;0,437270;0,040000;0,300000;0,100812;0,021651;0,615789;0,009597;0,005882;0,000000
29;-0,234343;0,909790;0,141709;3,247893;4250,000000;3376708835,676879;0,438730;0,040000;0,300000;0,114908;0,026801;0,657771;0,002045;0,003119;0,000000
30;-0,235219;0,906260;0,151870;3,265717;4250,000000;3349736215,830332;0,440014;0,040000;0,300000;0,119024;0,032846;0,650430;0,008000;0,008982;0,000000
