Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,473680;0,199600;0,332758;5,551325;7489,669937;11832999838,521643;0,002464;0,250000;19,911052;0,093579;0,239179;0,760413;0,198651;0,180572;0,019450
2;0,505925;0,184560;0,312126;5,585766;7568,044489;7172155880,577127;0,002402;0,250000;24,720802;0,079959;0,232166;0,716649;0,187016;0,164654;0,021376
3;0,491191;0,192610;0,324267;5,574733;7529,164921;8656052170,244781;0,002290;0,250000;23,003957;0,086674;0,237593;0,734898;0,203287;0,167742;0,029431
4;0,481519;0,195810;0,326398;5,562417;7510,214533;10253158603,762854;0,001442;0,250000;21,303346;0,092865;0,233533;0,752066;0,200740;0,158532;0,028075
5;0,484598;0,194990;0,326286;5,562428;7513,164677;10373007923,628510;0,003337;0,250000;21,436770;0,087314;0,238971;0,739702;0,208207;0,169690;0,022074
6;0,473320;0,200580;0,334281;5,555703;7483,949375;11027791918,594631;0,002173;0,250000;20,520478;0,094464;0,239817;0,760179;0,207210;0,175665;0,024716
7;0,465219;0,203980;0,343258;5,542038;7465,539564;12721979238,358711;0,001734;0,250000;18,972781;0,093690;0,249568;0,765296;0,222596;0,186995;0,026035
8;0,507585;0,183730;0,302423;5,585447;7571,988633;7244856634,059618;0,003465;0,250000;24,736026;0,081331;0,221091;0,701074;0,178824;0,155681;0,020148
9;0,453920;0,209400;0,354786;5,532145;7439,826233;13723403938,567719;0,001796;0,250000;17,811388;0,098264;0,256522;0,764969;0,230899;0,221146;0,025401
10;0,444228;0,214180;0,361698;5,521375;7417,387009;15050790560,775606;0,001734;0,250000;16,584740;0,101950;0,259748;0,798692;0,238223;0,200162;0,025384
11;0,463924;0,204460;0,344800;5,543434;7464,142630;12629803347,950563;0,001382;0,250000;18,935835;0,096195;0,248605;0,763774;0,225395;0,184019;0,035428
12;0,508306;0,182700;0,307037;5,588155;7578,537274;6739356961,494041;0,002134;0,250000;25,017462;0,081322;0,225715;0,708047;0,186680;0,149758;0,028056
13;0,441152;0,218280;0,370815;5,519063;7399,184419;15237927544,943186;0,002092;0,250000;16,609168;0,097487;0,273329;0,799585;0,256989;0,212757;0,029491
14;0,465497;0,203260;0,342234;5,542750;7469,511706;12496518752,963215;0,001854;0,250000;19,067684;0,095330;0,246904;0,763348;0,220727;0,183542;0,029412
15;0,453748;0,209730;0,352057;5,531419;7439,509304;13977479166,578241;0,001853;0,250000;17,685644;0,099137;0,252920;0,783328;0,218855;0,201779;0,028686
16;0,540362;0,167780;0,279445;5,625173;7662,034973;589664951,669067;0,002620;0,250000;31,391472;0,073586;0,205859;0,666552;0,162853;0,117694;0,024080
17;0,478463;0,197750;0,331776;5,556061;7497,242565;10863000931,187803;0,001661;0,250000;20,852551;0,089496;0,242280;0,758371;0,214598;0,162424;0,019346
18;0,475689;0,199610;0,332249;5,557642;7491,298498;10669282617,841154;0,001987;0,250000;20,930784;0,094173;0,238076;0,738318;0,214623;0,182553;0,030000
19;0,470222;0,200360;0,336683;5,545404;7483,680074;12260792490,920216;0,001962;0,250000;19,323713;0,093687;0,242996;0,761348;0,209639;0,177966;0,026684
20;0,493531;0,189890;0,317581;5,570306;7539,287805;9345894923,257551;0,003806;0,250000;22,434263;0,085061;0,232520;0,721763;0,197839;0,166129;0,020750
21;0,459264;0,206790;0,349604;5,537563;7453,751132;13312498340,702168;0,001498;0,250000;18,309085;0,097219;0,252385;0,777739;0,221587;0,199919;0,022044
22;0,487318;0,193230;0,323511;5,565333;7523,218241;10237135423,620485;0,001727;0,250000;21,676552;0,087787;0,235724;0,736606;0,197174;0,175474;0,021362
23;0,485325;0,194850;0,325744;5,564191;7513,163607;10056784094,024780;0,001954;0,250000;21,744687;0,087204;0,238541;0,733563;0,195081;0,186591;0,022148
24;0,483029;0,194900;0,325711;5,561444;7514,006192;10520111239,903162;0,002697;0,250000;21,166811;0,090549;0,235163;0,730055;0,200876;0,178947;0,029431
25;0,491662;0,191420;0,317415;5,572494;7531,918027;8825491209,726795;0,003040;0,250000;22,817404;0,088092;0,229323;0,734138;0,195286;0,155152;0,020708
26;0,468668;0,203710;0,341878;5,548135;7469,207585;12302123302,875786;0,002313;0,250000;19,569851;0,091751;0,250127;0,761050;0,212766;0,197900;0,024700
27;0,494525;0,189670;0,318873;5,577961;7541,467778;8057932237,719909;0,001924;0,250000;23,403072;0,087573;0,231299;0,725275;0,201076;0,157534;0,030040
28;0,499831;0,188030;0,310664;5,581590;7551,435896;7871836903,197109;0,002268;0,250000;23,977512;0,085595;0,225069;0,712267;0,183412;0,162151;0,029412
29;0,485760;0,194310;0,328058;5,566825;7517,767027;9765443092,494030;0,001987;0,250000;21,913951;0,088050;0,240008;0,733150;0,214021;0,175453;0,020694
30;0,479138;0,198240;0,335467;5,558489;7497,891209;11135886983,785902;0,001866;0,250000;20,786826;0,087703;0,247764;0,738483;0,220653;0,192990;0,022697
