Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,052868;0,214930;0,367764;4,904391;5965,040240;12944223489,099268;0,002162;0,083352;1,825989;0,086837;0,280926;0,889731;0,216672;0,147805;0,020027
2;0,077157;0,198800;0,341073;4,916569;6029,929021;12361357259,908852;0,002859;0,119908;2,197998;0,074724;0,266349;0,871100;0,161953;0,125705;0,020080
3;0,088182;0,194100;0,327033;4,927218;6053,727746;11866047881,618273;0,003960;0,137214;2,534348;0,070427;0,256606;0,863009;0,140351;0,103948;0,028743
4;0,074463;0,200170;0,342573;4,913654;6022,652106;12474328682,019190;0,004204;0,115602;2,126500;0,075947;0,266626;0,870613;0,172773;0,116673;0,027498
5;0,062233;0,208390;0,357034;4,907971;5990,781797;12758508556,797460;0,002430;0,097585;1,944168;0,082174;0,274860;0,874092;0,214118;0,125302;0,026720
6;0,057423;0,212870;0,359141;4,909196;5975,135294;12758873279,690868;0,002881;0,090578;1,937531;0,086377;0,272764;0,883207;0,204178;0,133441;0,025435
7;0,005005;0,252500;0,453472;4,883381;5827,670291;13492402353,093935;0,001809;0,040038;1,454830;0,094584;0,358888;0,895884;0,468401;0,171175;0,036120
8;0,064598;0,207650;0,355743;4,907873;5994,472162;12724416717,424976;0,002211;0,100994;1,980399;0,078603;0,277140;0,878736;0,186532;0,142799;0,025435
9;-0,054112;0,300560;0,566111;4,850588;5679,506468;13917307230,623674;0,002378;0,040000;1,188284;0,101749;0,464362;0,908298;0,809864;0,207509;0,024096
10;-0,184081;0,430200;0,739895;4,714107;5340,785938;14867216465,116491;0,001067;0,040000;0,675985;0,123522;0,616374;0,931324;0,878415;0,785597;0,029392
11;0,056281;0,212820;0,366304;4,906813;5972,642374;12848741961,922056;0,002304;0,088554;1,888353;0,084594;0,281710;0,878621;0,215488;0,152699;0,026756
12;0,086081;0,193160;0,326297;4,922475;6053,654202;12062964562,528906;0,002155;0,133421;2,399877;0,072871;0,253425;0,862820;0,137676;0,109142;0,024700
13;-0,182022;0,422810;0,744258;4,727220;5362,926386;14797599329,289848;0,001440;0,040000;0,702177;0,125039;0,619219;0,924904;0,887787;0,799753;0,028075
14;-0,084621;0,324160;0,618692;4,835355;5616,915466;13995083852,067104;0,001434;0,040000;1,095359;0,113011;0,505681;0,923879;0,848288;0,352870;0,024032
15;-0,198296;0,484420;0,744215;4,643408;5199,924865;15090594625,538866;0,001174;0,040000;0,562443;0,132469;0,611745;0,934220;0,873806;0,810500;0,018729
16;0,094914;0,188440;0,319436;4,930923;6074,655129;11632346200,877895;0,003386;0,146860;2,662484;0,068574;0,250862;0,852234;0,132279;0,096657;0,024096
17;0,064874;0,206980;0,352332;4,909098;5995,031911;12629086215,293245;0,002610;0,101023;2,011154;0,080768;0,271564;0,880221;0,189435;0,127823;0,025435
18;0,082614;0,196780;0,332825;4,919597;6038,285854;12152072492,943968;0,002725;0,128221;2,360222;0,071508;0,261316;0,874783;0,144879;0,115183;0,022712
19;-0,035965;0,286460;0,529899;4,865099;5723,990848;13757784207,232876;0,001468;0,040002;1,276650;0,102423;0,427476;0,911158;0,721523;0,173441;0,017356
20;-0,171396;0,398710;0,741243;4,747470;5420,749765;14682113915,535534;0,001174;0,040000;0,749259;0,120904;0,620339;0,923614;0,884904;0,794924;0,023380
21;-0,029752;0,280400;0,515529;4,862851;5740,703407;13754262267,681122;0,002171;0,040000;1,289097;0,100327;0,415202;0,913919;0,657376;0,179498;0,024048
22;0,051047;0,216680;0,373373;4,901555;5957,277601;13041945637,036459;0,001909;0,080553;1,788609;0,084622;0,288751;0,882802;0,239262;0,151233;0,025418
23;0,063371;0,208030;0,354770;4,908653;5993,425083;12754513181,733750;0,001851;0,099434;1,963897;0,081784;0,272986;0,873405;0,183378;0,151332;0,026774
24;0,008348;0,248630;0,444637;4,885205;5840,730082;13426417993,237432;0,001619;0,040046;1,466823;0,096492;0,348144;0,897348;0,449290;0,164113;0,021419
25;0,079956;0,197920;0,335670;4,919407;6034,345555;12233256113,433510;0,002356;0,124330;2,298368;0,074063;0,261607;0,872061;0,155840;0,113929;0,024064
26;-0,147408;0,370540;0,723170;4,773150;5475,822584;14560777752,794340;0,001802;0,040000;0,824332;0,116982;0,606188;0,919220;0,875598;0,738310;0,022118
27;0,072846;0,201920;0,344597;4,917009;6017,511735;12402022864,395262;0,002053;0,113607;2,166564;0,078640;0,265956;0,870779;0,178151;0,120274;0,026810
28;-0,038333;0,287090;0,539276;4,865180;5722,697565;13701499241,020306;0,001147;0,040000;1,274817;0,102768;0,436508;0,916118;0,742645;0,167739;0,029333
29;0,061463;0,209160;0,356039;4,908590;5985,857493;12727640228,633184;0,002943;0,096016;1,967531;0,082961;0,273078;0,879751;0,195081;0,137500;0,024096
30;0,059845;0,209670;0,360333;4,907807;5985,102591;12841915588,102955;0,002577;0,093783;1,894165;0,083739;0,276594;0,868503;0,213997;0,140379;0,028743
