Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,428281;0,201680;0,335432;5,485246;7332,852851;14317377872,415699;0,003114;0,250000;15,471180;0,096476;0,238956;0,754633;0,220379;0,168413;0,023380
2;0,468622;0,182450;0,306748;5,525041;7430,272464;9861850090,644709;0,001882;0,250000;20,052085;0,078336;0,228412;0,724767;0,175403;0,146430;0,022712
3;0,458059;0,188570;0,317518;5,521184;7400,333520;10274656179,951248;0,003542;0,250000;19,393720;0,084043;0,233475;0,726088;0,190155;0,159484;0,036048
4;0,465632;0,182920;0,304665;5,521266;7426,464722;10336957502,614838;0,001410;0,250000;19,479334;0,081846;0,222819;0,732738;0,172773;0,130048;0,023364
5;0,450792;0,190780;0,318399;5,504521;7385,052754;12117434835,963615;0,003135;0,250000;17,703471;0,084730;0,233669;0,748621;0,188870;0,149476;0,021390
6;0,445477;0,194300;0,325008;5,504717;7369,139725;12172755594,082735;0,003207;0,250000;17,600950;0,088029;0,236978;0,753772;0,196760;0,154032;0,025503
7;0,432427;0,200320;0,339054;5,485626;7337,604096;14100281856,279655;0,001681;0,250000;15,838294;0,088241;0,250812;0,775517;0,206504;0,177328;0,024080
8;0,439048;0,196870;0,332725;5,495227;7356,537256;13117532871,862982;0,002396;0,250000;16,653266;0,088584;0,244140;0,752407;0,203567;0,181598;0,024048
9;0,429362;0,201670;0,339902;5,483373;7332,303927;14450044633,604605;0,002411;0,250000;15,469219;0,091325;0,248578;0,762151;0,208558;0,192572;0,026035
10;0,401515;0,216110;0,367026;5,453836;7262,865763;16945530587,208770;0,002357;0,250000;13,019388;0,098232;0,268793;0,816552;0,240822;0,199031;0,024700
11;0,438196;0,198120;0,333672;5,491584;7348,867105;13629421481,167276;0,003143;0,250000;16,387891;0,085833;0,247839;0,762940;0,208628;0,165115;0,028724
12;0,495629;0,168560;0,280933;5,551632;7506,977531;6676016902,649034;0,003215;0,250000;23,317949;0,071501;0,209432;0,681364;0,146841;0,128876;0,023364
13;0,418359;0,207760;0,353407;5,472917;7302,091825;15306323858,094723;0,002123;0,250000;14,604296;0,092820;0,260587;0,781153;0,245207;0,179291;0,028763
14;0,443913;0,194500;0,328429;5,498201;7369,627217;12870670126,170795;0,001521;0,250000;17,005328;0,086039;0,242390;0,752407;0,202085;0,165119;0,026052
15;0,409968;0,211400;0,356504;5,462482;7284,064483;16152916144,665676;0,001377;0,250000;13,774859;0,097358;0,259146;0,783887;0,238992;0,200887;0,021419
16;0,511974;0,162260;0,273822;5,577228;7547,466097;2989465800,598382;0,002899;0,250000;26,961548;0,067469;0,206352;0,667121;0,147524;0,108206;0,028075
17;0,439104;0,196560;0,328599;5,496859;7357,033579;12802468730,828629;0,002259;0,250000;16,857109;0,091306;0,237293;0,749143;0,202361;0,162369;0,033512
18;0,456075;0,188970;0,316254;5,516724;7396,952010;10733723969,023910;0,001793;0,250000;18,997279;0,085532;0,230722;0,726991;0,188299;0,164251;0,026720
19;0,445665;0,193160;0,325048;5,500352;7373,598415;12641925396,282022;0,002353;0,250000;17,136223;0,086436;0,238612;0,747343;0,198383;0,161147;0,024080
20;0,453548;0,190710;0,320289;5,508330;7387,718913;11857207216,958485;0,003038;0,250000;18,128513;0,081114;0,239175;0,738054;0,190605;0,156641;0,034829
21;0,417114;0,208830;0,348162;5,473256;7298,672025;15406665495,886545;0,002698;0,250000;14,598838;0,096915;0,251247;0,781304;0,220345;0,181524;0,036740
22;0,442982;0,195120;0,325231;5,496343;7365,275398;13109043587,728771;0,002785;0,250000;16,833188;0,087155;0,238076;0,744725;0,201881;0,167611;0,020067
23;0,459166;0,187430;0,314617;5,510990;7401,838469;11569421887,835323;0,003225;0,250000;18,554292;0,078019;0,236599;0,723852;0,185748;0,167271;0,020777
24;0,447740;0,192450;0,323177;5,501814;7378,642643;12573908973,880466;0,002219;0,250000;17,353997;0,085415;0,237762;0,735648;0,199933;0,164577;0,028037
25;0,462984;0,185750;0,311454;5,523710;7414,392810;10138977065,106213;0,001955;0,250000;19,678918;0,082277;0,229177;0,718718;0,195368;0,146371;0,026720
26;0,426351;0,203780;0,343864;5,481155;7322,310726;14634298164,999622;0,002061;0,250000;15,312424;0,091528;0,252336;0,771370;0,218739;0,181303;0,027461
27;0,471692;0,181710;0,300548;5,535107;7440,449082;8914231242,181393;0,001486;0,250000;20,881771;0,083232;0,217316;0,699414;0,183132;0,138126;0,030020
28;0,441467;0,197900;0,330585;5,499811;7353,835929;12767857351,177765;0,003913;0,250000;17,226648;0,086209;0,244377;0,755363;0,199394;0,175162;0,026774
29;0,461585;0,186200;0,310958;5,519796;7411,912741;10606918262,763605;0,002232;0,250000;19,301491;0,082563;0,228394;0,722107;0,189353;0,150121;0,020708
30;0,459670;0,186960;0,313040;5,513994;7406,118195;11430996962,057870;0,002150;0,250000;18,644656;0,080801;0,232239;0,727430;0,184724;0,159338;0,022044
