Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,238160;0,691110;0,623293;4,142625;4750,000000;9984219438,162958;0,277368;0,040000;0,313130;0,162859;0,460435;0,933549;0,710656;0,523227;0,008949
2;-0,228665;0,542590;0,710510;4,255222;4750,000000;9812964929,126184;0,009409;0,040000;0,366540;0,121372;0,589138;0,921617;0,864424;0,700823;0,024849
3;-0,227376;0,534700;0,716478;4,287299;4750,000000;9775295688,646000;0,003825;0,040000;0,387349;0,114006;0,602472;0,928948;0,870027;0,705858;0,029471
4;-0,228856;0,542670;0,709082;4,262366;4750,000000;9798878262,101570;0,008287;0,040000;0,371133;0,123013;0,586068;0,921630;0,871936;0,684622;0,022819
5;-0,230500;0,583180;0,684585;4,201394;4750,000000;9893094856,138708;0,082161;0,040000;0,337591;0,130053;0,554531;0,920426;0,827038;0,656584;0,011921
6;-0,231712;0,587600;0,688275;4,189376;4750,000000;9900769674,668510;0,103360;0,040000;0,331442;0,134611;0,553664;0,927608;0,831405;0,665911;0,007013
7;-0,251140;0,804010;0,533623;4,041165;4750,000000;10149583899,601381;0,400360;0,040000;0,300000;0,220816;0,312807;0,921063;0,392037;0,277273;0,002419
8;-0,231348;0,583330;0,694765;4,199104;4750,000000;9888704576,638630;0,096342;0,040000;0,334425;0,131600;0,563166;0,919520;0,829891;0,688376;0,015625
9;-0,249172;0,785080;0,556463;4,063288;4750,000000;10109437407,706474;0,383060;0,040000;0,300000;0,209162;0,347301;0,916890;0,496723;0,359799;0,002375
10;-0,254923;0,846640;0,479920;3,967739;4750,000000;10291281117,334757;0,423577;0,040000;0,300000;0,239848;0,240071;0,922459;0,245161;0,111695;0,000876
11;-0,242061;0,733110;0,591267;4,114611;4750,000000;10025332528,552774;0,332310;0,040000;0,304750;0,178213;0,413054;0,928336;0,627415;0,449555;0,003814
12;-0,225627;0,513330;0,710328;4,382007;4750,000000;9621015367,806704;0,001276;0,040000;0,458230;0,108125;0,602204;0,921699;0,864736;0,690760;0,035499
13;-0,250328;0,799960;0,540601;4,046257;4750,000000;10144601518,994884;0,391512;0,040000;0,300000;0,215979;0,324622;0,925432;0,439024;0,269687;0,000000
14;-0,228772;0,554880;0,703936;4,232944;4750,000000;9861809265,090712;0,016419;0,040000;0,354530;0,120603;0,583333;0,927157;0,860384;0,672932;0,017747
15;-0,255034;0,839030;0,484188;3,977825;4750,000000;10249756742,627340;0,423884;0,040000;0,300000;0,243803;0,240385;0,922662;0,200750;0,135099;0,004281
16;-0,213118;0,445870;0,712718;4,520465;4919,988163;9251864206,933630;0,001725;0,040000;0,587653;0,097641;0,615077;0,924791;0,867211;0,697465;0,026756
17;-0,229228;0,558260;0,699779;4,222663;4750,000000;9855797783,522984;0,020404;0,040000;0,348917;0,123806;0,575974;0,921968;0,856228;0,669710;0,014403
18;-0,228054;0,538030;0,710930;4,282180;4750,000000;9760742492,125792;0,002919;0,040000;0,386280;0,119604;0,591326;0,931143;0,860929;0,693252;0,027406
19;-0,244290;0,753460;0,575045;4,097277;4750,000000;10056344748,437128;0,358636;0,040000;0,300000;0,186922;0,388123;0,926036;0,578891;0,392658;0,003943
20;-0,239278;0,695360;0,625583;4,141716;4750,000000;9975735248,118187;0,290963;0,040000;0,311450;0,167067;0,458516;0,924704;0,733676;0,532104;0,007407
21;-0,249575;0,797770;0,537349;4,050823;4750,000000;10139150354,846520;0,395976;0,040000;0,300000;0,212419;0,324930;0,930925;0,454685;0,255721;0,000820
22;-0,237143;0,678710;0,632785;4,155381;4750,000000;9980408528,382063;0,274061;0,040000;0,318340;0,156927;0,475857;0,917862;0,741915;0,555830;0,004494
23;-0,243452;0,743620;0,585339;4,106055;4750,000000;10045060018,924196;0,345439;0,040000;0,301407;0,183502;0,401837;0,925092;0,597744;0,439648;0,003098
24;-0,240128;0,708250;0,613221;4,127241;4750,000000;10003686101,732447;0,299403;0,040000;0,308637;0,171209;0,442012;0,922660;0,704407;0,497333;0,003042
25;-0,231954;0,582950;0,691024;4,193833;4750,000000;9892779156,914011;0,083169;0,040000;0,332873;0,137137;0,553887;0,920978;0,846768;0,653298;0,018323
26;-0,255179;0,840120;0,489362;3,989165;4750,000000;10242334578,239122;0,423586;0,040000;0,300000;0,243812;0,245549;0,915718;0,266247;0,145181;0,000881
27;-0,227240;0,537460;0,702229;4,283200;4750,000000;9762791745,127783;0,005697;0,040000;0,386717;0,117829;0,584400;0,916637;0,862651;0,672265;0,028169
28;-0,241616;0,720530;0,604662;4,123614;4750,000000;10016178895,456612;0,307711;0,040000;0,307301;0,178147;0,426514;0,927068;0,663500;0,477952;0,006102
29;-0,228643;0,551100;0,703573;4,235688;4750,000000;9850088714,913618;0,012059;0,040000;0,356991;0,120482;0,583091;0,925122;0,855947;0,681481;0,013578
30;-0,227762;0,549900;0,704175;4,244373;4750,000000;9852682938,941452;0,016174;0,040000;0,360182;0,115553;0,588622;0,920000;0,853616;0,689698;0,017100
