Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,303464;0,203160;0,343182;5,279410;6885,043416;17007749491,906685;0,002530;0,250000;7,748709;0,087420;0,255762;0,805222;0,193723;0,169895;0,027388
2;0,351026;0,178680;0,302309;5,335337;7005,652875;13868796048,619877;0,003555;0,250000;10,518428;0,075147;0,227162;0,742222;0,158816;0,119307;0,030749
3;0,314472;0,197070;0,333975;5,296868;6914,305064;15979539419,210094;0,002141;0,250000;8,524159;0,087622;0,246353;0,788336;0,196501;0,148654;0,030080
4;0,332429;0,189060;0,316516;5,314777;6952,527762;15052868966,346735;0,003515;0,250000;9,489367;0,079890;0,236626;0,773507;0,170995;0,127368;0,027498
5;0,346660;0,180660;0,302941;5,327743;6993,400637;14394987516,308102;0,002346;0,250000;10,102873;0,075761;0,227181;0,736011;0,163300;0,124597;0,032732
6;0,326021;0,191560;0,321841;5,307640;6939,415434;15424701144,465586;0,002169;0,250000;9,079651;0,082640;0,239201;0,776289;0,182705;0,134058;0,026070
7;0,312175;0,198050;0,336207;5,289004;6909,297175;16562421224,296577;0,002025;0,250000;8,138824;0,085193;0,251014;0,795455;0,180295;0,169088;0,032129
8;0,348303;0,180530;0,301847;5,331685;6996,556290;14232269135,623743;0,002889;0,250000;10,290021;0,075791;0,226055;0,736679;0,154157;0,132554;0,030120
9;0,314555;0,196740;0,330625;5,290114;6915,214471;16535327454,179880;0,001969;0,250000;8,211529;0,085424;0,245201;0,777970;0,184636;0,166801;0,026684
10;0,300180;0,203980;0,344264;5,274159;6880,586054;17300866051,605220;0,001452;0,250000;7,489189;0,089645;0,254619;0,819842;0,192269;0,161277;0,026702
11;0,322980;0,192420;0,324675;5,300469;6935,668883;15948677134,189163;0,003031;0,250000;8,679511;0,082183;0,242492;0,768464;0,184874;0,152200;0,024113
12;0,370308;0,168960;0,280787;5,352587;7053,171940;12736536319,459272;0,002412;0,250000;11,705476;0,068168;0,212619;0,710399;0,142809;0,098229;0,024096
13;0,304170;0,201990;0,341523;5,279400;6890,464439;17033250704,672537;0,001510;0,250000;7,715638;0,088426;0,253096;0,798203;0,208263;0,159018;0,026087
14;0,327264;0,189970;0,319375;5,307666;6947,362156;15481155104,361591;0,002129;0,250000;9,030105;0,083443;0,235932;0,770075;0,181666;0,131770;0,026052
15;0,295998;0,206670;0,350660;5,268607;6868,993026;17472682457,996197;0,002252;0,250000;7,338302;0,088832;0,261827;0,827207;0,188279;0,179984;0,027480
16;0,361774;0,173110;0,291831;5,347745;7031,884699;12760068323,515823;0,003400;0,250000;11,422444;0,072072;0,219759;0,721407;0,161128;0,104158;0,021419
17;0,331906;0,188250;0,317016;5,312819;6956,693923;15101814932,852974;0,002125;0,250000;9,343447;0,080876;0,236141;0,768334;0,167787;0,141357;0,024683
18;0,344705;0,182860;0,304842;5,328936;6984,644427;14294271743,497213;0,002019;0,250000;10,240687;0,077150;0,227693;0,748276;0,154518;0,132850;0,028859
19;0,298155;0,204780;0,344964;5,275060;6878,164848;17176141077,041306;0,002668;0,250000;7,487500;0,093011;0,251953;0,808313;0,193809;0,167742;0,037433
20;0,324369;0,192050;0,324237;5,302358;6937,947991;15839844094,347410;0,002837;0,250000;8,781558;0,081465;0,242772;0,779114;0,172948;0,150343;0,027461
21;0,304005;0,201450;0,338713;5,278219;6892,798612;17097021397,417961;0,002053;0,250000;7,640861;0,089931;0,248782;0,798080;0,194810;0,159174;0,025350
22;0,322962;0,193150;0,322564;5,303842;6934,719453;15926238014,558712;0,003014;0,250000;8,756017;0,084832;0,237732;0,766287;0,180383;0,150829;0,028150
23;0,338495;0,184810;0,311587;5,315882;6973,912021;15113045100,574080;0,002174;0,250000;9,479058;0,076400;0,235187;0,747934;0,165267;0,147296;0,028056
24;0,332382;0,187260;0,311675;5,311708;6960,632100;15420339788,409136;0,002866;0,250000;9,190121;0,082234;0,229442;0,756282;0,167003;0,141300;0,018024
25;0,351455;0,178710;0,300395;5,336605;7004,946058;13871092678,134932;0,002880;0,250000;10,556012;0,075200;0,225195;0,729795;0,160498;0,122984;0,034114
26;0,319720;0,193920;0,328632;5,295837;6928,998902;16303185445,545918;0,002906;0,250000;8,405629;0,082589;0,246043;0,773928;0,184548;0,159677;0,026720
27;0,354283;0,177360;0,298621;5,336276;7011,381216;13792015338,061892;0,002042;0,250000;10,669820;0,072602;0,226019;0,736301;0,162563;0,110169;0,026684
28;0,345101;0,182100;0,301465;5,323035;6985,762823;14657640711,316300;0,004293;0,250000;9,963668;0,074858;0,226607;0,741148;0,148685;0,130435;0,030749
29;0,346046;0,181160;0,306867;5,328639;6990,752358;14335348993,538034;0,001889;0,250000;10,171693;0,074742;0,232125;0,747856;0,159987;0,136546;0,023333
30;0,315286;0,196210;0,336407;5,289957;6916,001944;16436093441,876852;0,001654;0,250000;8,237607;0,081467;0,254940;0,792284;0,190285;0,167002;0,024733
