Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,246711;0,904740;0,253440;3,580313;4500,000000;6909210157,227458;0,471542;0,040000;0,300000;0,186560;0,066880;0,806349;0,039120;0,016490;0,000000
2;-0,247918;0,838020;0,388853;3,763254;4500,000000;6581017592,367765;0,471935;0,040000;0,300000;0,172112;0,216741;0,891618;0,164659;0,061224;0,000000
3;-0,250114;0,848230;0,379349;3,745125;4500,000000;6604468388,115608;0,474236;0,040000;0,300000;0,187430;0,191919;0,890279;0,128205;0,058550;0,000868
4;-0,251644;0,869230;0,348214;3,693076;4500,000000;6691841193,069704;0,469209;0,040000;0,300000;0,198413;0,149802;0,879605;0,090452;0,030663;0,000000
5;-0,245494;0,833330;0,389005;3,780313;4500,000000;6556423941,622034;0,460562;0,040000;0,300000;0,160512;0,228493;0,884254;0,176786;0,051971;0,000853
6;-0,248374;0,883250;0,300570;3,655335;4500,000000;6762428596,498298;0,482927;0,040000;0,300000;0,187347;0,113223;0,838990;0,056034;0,019313;0,000000
7;-0,245961;0,895140;0,272917;3,613818;4500,000000;6853403007,162663;0,472411;0,040000;0,300000;0,177366;0,095551;0,820965;0,036058;0,015945;0,000000
8;-0,249635;0,878720;0,320074;3,667161;4500,000000;6752514003,266223;0,482677;0,040000;0,300000;0,190464;0,129610;0,857143;0,049180;0,024494;0,000939
9;-0,247524;0,899360;0,270444;3,599784;4500,000000;6877472869,810062;0,461331;0,040000;0,300000;0,192343;0,078101;0,813641;0,043165;0,021302;0,000000
10;-0,245860;0,899080;0,257380;3,600182;4500,000000;6887691091,068409;0,465032;0,040000;0,300000;0,186039;0,071341;0,834369;0,018913;0,025275;0,000000
11;-0,246165;0,899950;0,258754;3,592608;4500,000000;6888570189,721013;0,459572;0,040000;0,300000;0,185931;0,072823;0,809909;0,038660;0,021396;0,000000
12;-0,247583;0,808530;0,444973;3,821539;4500,000000;6470983634,028873;0,443095;0,040000;0,300000;0,166032;0,278941;0,907291;0,295597;0,112712;0,000000
13;-0,249276;0,894900;0,287582;3,613780;4500,000000;6847264714,725156;0,465788;0,040000;0,300000;0,195781;0,091800;0,842870;0,046512;0,025834;0,000000
14;-0,247732;0,880390;0,302492;3,662782;4500,000000;6757796606,097840;0,478310;0,040000;0,300000;0,186108;0,116384;0,852370;0,061086;0,016632;0,000925
15;-0,245387;0,889370;0,270042;3,625961;4500,000000;6833401953,593116;0,469164;0,040000;0,300000;0,180309;0,089733;0,843209;0,033040;0,020555;0,000000
16;-0,239855;0,666170;0,582553;3,971123;4500,000000;6219770907,953753;0,261601;0,040000;0,308759;0,132995;0,449558;0,919900;0,708509;0,388708;0,005058
17;-0,249279;0,858800;0,354552;3,712372;4500,000000;6659666152,975665;0,471225;0,040000;0,300000;0,184882;0,169670;0,882064;0,105376;0,029412;0,000000
18;-0,251333;0,844670;0,395498;3,753294;4500,000000;6583028972,545360;0,472375;0,040000;0,300000;0,190245;0,205253;0,896589;0,162887;0,050980;0,004241
19;-0,249703;0,900320;0,273824;3,595480;4500,000000;6865448813,142185;0,469702;0,040000;0,300000;0,199567;0,074257;0,820171;0,030303;0,013111;0,000000
20;-0,248074;0,889310;0,288140;3,628414;4500,000000;6822946309,084384;0,461661;0,040000;0,300000;0,191905;0,096235;0,843087;0,032911;0,011815;0,000000
21;-0,249070;0,905690;0,265847;3,570614;4500,000000;6920835745,313643;0,455459;0,040000;0,300000;0,199871;0,065977;0,819487;0,035519;0,012063;0,000000
22;-0,248511;0,876220;0,326327;3,678844;4500,000000;6735324422,652885;0,470174;0,040000;0,300000;0,183657;0,142669;0,856725;0,079186;0,036573;0,000000
23;-0,248755;0,873910;0,326031;3,693680;4500,000000;6701065269,435925;0,480726;0,040000;0,300000;0,186598;0,139433;0,853362;0,070981;0,040042;0,000000
24;-0,249371;0,887580;0,293233;3,633367;4500,000000;6803209508,158653;0,465107;0,040000;0,300000;0,197438;0,095795;0,836499;0,047962;0,021390;0,000000
25;-0,249389;0,863580;0,344761;3,711669;4500,000000;6669036419,731944;0,473240;0,040000;0,300000;0,189403;0,155358;0,867562;0,098291;0,035225;0,000000
26;-0,246372;0,892300;0,280676;3,629927;4500,000000;6826412235,301045;0,475294;0,040000;0,300000;0,180705;0,099971;0,833182;0,051597;0,024811;0,000000
27;-0,249945;0,850200;0,373360;3,727790;4500,000000;6624829662,785912;0,456918;0,040000;0,300000;0,188125;0,185235;0,878685;0,147929;0,050279;0,000000
28;-0,248068;0,903520;0,261132;3,582032;4500,000000;6898172994,752221;0,465063;0,040000;0,300000;0,194656;0,066476;0,832461;0,035623;0,014371;0,000000
29;-0,249773;0,878750;0,322101;3,664768;4500,000000;6745882414,602258;0,471369;0,040000;0,300000;0,195012;0,127089;0,867756;0,065421;0,019129;0,000000
30;-0,249954;0,886300;0,312605;3,658543;4500,000000;6758042164,468649;0,477779;0,040000;0,300000;0,196078;0,116527;0,842105;0,058524;0,024561;0,000000
