Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,492668;0,210090;0,349781;5,590505;7581,927438;11649674399,195375;0,001920;0,250000;21,914727;0,101129;0,248652;0,771972;0,226936;0,199515;0,026122
2;0,547238;0,183390;0,306185;5,646475;7722,194313;3033941087,775534;0,002367;0,250000;30,828459;0,082868;0,223317;0,696041;0,181145;0,169225;0,024064
3;0,531379;0,192430;0,324772;5,634575;7673,443046;4995060120,325310;0,002936;0,250000;28,760380;0,085990;0,238782;0,718116;0,205111;0,185350;0,028075
4;0,517141;0,197680;0,331743;5,616291;7644,488566;7905034409,862685;0,001893;0,250000;25,625900;0,092782;0,238961;0,757074;0,209146;0,166331;0,026070
5;0,510239;0,201030;0,336888;5,609732;7627,709196;8862496989,164669;0,001494;0,250000;24,591956;0,095673;0,241215;0,747067;0,217772;0,187021;0,027406
6;0,499473;0,207610;0,343572;5,603013;7596,543143;9796192820,273285;0,001799;0,250000;23,611534;0,101404;0,242168;0,765760;0,218729;0,189167;0,026720
7;0,505667;0,205400;0,345586;5,602313;7604,850757;9951708282,118706;0,001971;0,250000;23,910583;0,090215;0,255371;0,760622;0,222859;0,195784;0,032150
8;0,546105;0,184750;0,306543;5,646686;7715,844435;3177998902,927278;0,003434;0,250000;30,781225;0,083215;0,223329;0,707772;0,182032;0,156728;0,025452
9;0,489296;0,212440;0,358891;5,590729;7569,687997;11508839550,555574;0,002006;0,250000;21,915319;0,100335;0,258556;0,769707;0,233771;0,223929;0,032776
10;0,489315;0,212240;0,356054;5,591912;7573,368740;11623907904,213755;0,002214;0,250000;21,814920;0,103108;0,252946;0,778238;0,237231;0,205574;0,024716
11;0,507170;0,203400;0,345857;5,604941;7614,703078;9690745470,761475;0,002270;0,250000;23,999822;0,091592;0,254265;0,757586;0,233199;0,196774;0,018097
12;0,546473;0,184480;0,308160;5,650875;7719,878364;2208517685,981775;0,001411;0,250000;31,551219;0,085048;0,223112;0,703602;0,182919;0,164720;0,024113
13;0,488475;0,212710;0,363618;5,586047;7569,868221;12115184512,322319;0,001948;0,250000;21,355497;0,097249;0,266369;0,789022;0,247051;0,203719;0,030100
14;0,500378;0,207310;0,352470;5,603781;7598,710003;9783542962,453669;0,001731;0,250000;23,624163;0,096764;0,255705;0,775258;0,239636;0,188808;0,026035
15;0,518682;0,198360;0,332181;5,618168;7642,685116;7967313292,133488;0,003510;0,250000;25,833474;0,089883;0,242298;0,742591;0,207744;0,184615;0,026122
16;0,573353;0,171010;0,283600;5,678391;7792,462783;-3471006295,521514;0,002344;0,250000;37,455733;0,078147;0,205453;0,669299;0,169583;0,126006;0,021362
17;0,527633;0,194060;0,319305;5,631789;7667,118543;5653471486,293576;0,001821;0,250000;28,147373;0,091898;0,227407;0,727555;0,201078;0,160404;0,026720
18;0,524520;0,195080;0,324462;5,626725;7659,866053;6193693349,333029;0,001757;0,250000;27,442337;0,091325;0,233137;0,734138;0,191231;0,186065;0,024064
19;0,511992;0,201160;0,335299;5,611060;7629,272077;8810204182,359406;0,002275;0,250000;24,807465;0,093941;0,241358;0,748615;0,215607;0,182809;0,028056
20;0,533303;0,190360;0,320381;5,632928;7684,130372;5493625045,071381;0,001840;0,250000;28,267290;0,086030;0,234351;0,725430;0,199664;0,163570;0,032086
21;0,496005;0,209340;0,351184;5,597514;7587,415335;10788972417,938614;0,001932;0,250000;22,740675;0,099177;0,252007;0,768196;0,229602;0,204591;0,026792
22;0,518806;0,196790;0,330151;5,615516;7649,491796;8270469019,891932;0,001902;0,250000;25,406041;0,091094;0,239058;0,739684;0,212651;0,177661;0,019385
23;0,505746;0,204050;0,346134;5,603568;7612,565688;9945709758,729406;0,002022;0,250000;23,741336;0,092756;0,253378;0,759931;0,231105;0,194018;0,026052
24;0,509441;0,202010;0,342805;5,609633;7623,413147;9060328196,013530;0,001277;0,250000;24,517351;0,093871;0,248934;0,752149;0,234680;0,184901;0,023364
25;0,514167;0,200780;0,335401;5,616978;7630,747286;7728210587,282799;0,002789;0,250000;25,798894;0,093156;0,242245;0,745774;0,223871;0,175304;0,026035
26;0,497005;0,209350;0,350473;5,596198;7586,154675;11012798322,832340;0,002646;0,250000;22,726186;0,096731;0,253742;0,767104;0,223533;0,209821;0,028056
27;0,535795;0,190440;0,317336;5,637354;7684,287133;4578424775,656368;0,002512;0,250000;29,298565;0,085003;0,232334;0,717549;0,207198;0,157108;0,028724
28;0,529118;0,193500;0,323105;5,630914;7668,579720;5721648036,861338;0,002219;0,250000;28,081920;0,087482;0,235623;0,731127;0,197306;0,174545;0,027406
29;0,528243;0,193590;0,323679;5,628986;7667,624144;6077765923,786581;0,001762;0,250000;27,771665;0,087805;0,235874;0,728055;0,209177;0,167205;0,024080
30;0,514358;0,199910;0,337400;5,611346;7633,971302;8947909610,747307;0,002772;0,250000;24,839912;0,089865;0,247535;0,743696;0,222671;0,188763;0,024749
