Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,093781;0,211480;0,355266;4,954264;6123,462021;14182743765,144476;0,002249;0,144446;2,324572;0,086270;0,268996;0,885913;0,176332;0,150746;0,029412
2;0,115051;0,198200;0,338778;4,968242;6181,381585;13397133051,874952;0,002838;0,176952;2,831001;0,074675;0,264103;0,867150;0,156869;0,127317;0,028686
3;0,130128;0,188760;0,320718;4,976272;6218,136596;12834640433,950981;0,003481;0,198659;3,234292;0,067167;0,253551;0,839890;0,131164;0,116935;0,030728
4;0,119122;0,194740;0,330695;4,968617;6193,947590;13319140168,459404;0,002580;0,182533;2,880403;0,074378;0,256317;0,866115;0,156198;0,101368;0,021419
5;0,118376;0,195190;0,332555;4,967877;6192,041398;13339109730,939716;0,002394;0,181490;2,869761;0,073574;0,258981;0,864232;0,145980;0,123492;0,018754
6;0,099908;0,207880;0,351467;4,964602;6138,932050;13678486536,672993;0,002716;0,153792;2,591166;0,085253;0,266213;0,886137;0,176768;0,129032;0,028075
7;0,099366;0,208210;0,359281;4,957271;6138,456992;14024815655,320414;0,002399;0,152996;2,436283;0,079164;0,280118;0,881683;0,189980;0,157534;0,018692
8;0,115978;0,197620;0,335568;4,967547;6181,775804;13389382086,629213;0,003023;0,177974;2,855893;0,073961;0,261607;0,866299;0,150924;0,121408;0,026756
9;0,092899;0,211740;0,359931;4,953765;6120,559201;14171734274,677626;0,002119;0,142547;2,313841;0,084977;0,274954;0,882883;0,187626;0,160757;0,024064
10;0,051875;0,241180;0,423718;4,936338;6008,915654;15045841935,499071;0,001899;0,081325;1,735141;0,097335;0,326383;0,912863;0,341875;0,190073;0,027406
11;0,109510;0,201030;0,342006;4,960141;6166,946694;13794629715,703726;0,001864;0,168044;2,599457;0,075922;0,266084;0,864865;0,163703;0,138642;0,025367
12;0,134079;0,185120;0,312646;4,978340;6233,280869;12740430552,106527;0,002889;0,204528;3,287858;0,068756;0,243890;0,831034;0,123573;0,102811;0,032820
13;0,051252;0,241280;0,420051;4,937448;6009,426729;15011615082,961130;0,002601;0,080588;1,739360;0,100967;0,319084;0,903282;0,343591;0,184200;0,026139
14;0,115399;0,197730;0,334519;4,967301;6181,918546;13422463365,932095;0,003557;0,177072;2,822343;0,075399;0,259120;0,868621;0,148535;0,117885;0,026756
15;0,079428;0,221680;0,378180;4,947332;6083,460363;14548301502,529844;0,002108;0,122674;2,083274;0,089558;0,288622;0,896396;0,228648;0,164848;0,027498
16;0,137901;0,181600;0,311596;4,981545;6247,433845;12524022331,244936;0,001849;0,209935;3,391782;0,067132;0,244465;0,829569;0,127560;0,098795;0,021333
17;0,099449;0,206900;0,353377;4,961626;6141,801161;13843990009,311821;0,001857;0,152845;2,483256;0,085074;0,268303;0,877326;0,185820;0,136711;0,030728
18;0,114263;0,198550;0,336346;4,968855;6179,691117;13338149771,620012;0,003166;0,175734;2,854448;0,077079;0,259267;0,872289;0,146851;0,121469;0,027425
19;0,082132;0,218870;0,371684;4,952664;6094,615876;14351732282,804260;0,001951;0,126954;2,164026;0,093099;0,278585;0,891500;0,216571;0,155520;0,032129
20;0,102014;0,205120;0,351831;4,958033;6148,148739;13955969848,550678;0,001933;0,156501;2,449555;0,080552;0,271279;0,874914;0,183165;0,136345;0,026702
21;0,081797;0,218910;0,375596;4,951464;6093,829282;14416639459,922918;0,002556;0,126164;2,131092;0,091260;0,284337;0,888583;0,223082;0,162490;0,034068
22;0,110112;0,200450;0,338823;4,962033;6169,986658;13760202266,904192;0,002665;0,169013;2,618546;0,078073;0,260750;0,863809;0,164089;0,126010;0,022758
23;0,113735;0,198660;0,340136;4,962803;6177,443698;13643395013,052742;0,001974;0,174531;2,706442;0,073002;0,267134;0,871079;0,153794;0,135593;0,019437
24;0,111185;0,200190;0,342872;4,962670;6170,058893;13650327275,273214;0,002970;0,170318;2,674154;0,074784;0,268087;0,868774;0,168407;0,126914;0,023443
25;0,125063;0,192040;0,321603;4,971841;6205,073622;13079230846,114819;0,003406;0,191291;3,086608;0,070484;0,251119;0,848474;0,138814;0,108608;0,022088
26;0,076201;0,222780;0,380836;4,947740;6078,001198;14599912193,806630;0,002390;0,117836;2,029911;0,093887;0,286949;0,888697;0,245118;0,165657;0,023443
27;0,112034;0,200590;0,341929;4,968335;6168,914314;13387082785,860844;0,002222;0,171912;2,827794;0,076244;0,265685;0,872978;0,172773;0,111470;0,028112
28;0,103195;0,204920;0,349031;4,961001;6150,431968;13803145810,488487;0,003029;0,158476;2,546711;0,081295;0,267736;0,887202;0,167339;0,138777;0,016086
29;0,115835;0,196790;0,337324;4,965912;6184,622856;13458337322,265640;0,001820;0,177480;2,801270;0,073450;0,263873;0,863542;0,155787;0,130732;0,020708
30;0,100719;0,206820;0,355562;4,957835;6143,811171;13990934990,901028;0,003134;0,155089;2,444223;0,079882;0,275680;0,882454;0,177539;0,153226;0,023380
