Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,224840;0,918850;0,078829;3,010807;4125,000000;1736665812,956122;0,382836;0,040000;0,300000;0,071697;0,007132;0,470998;0,003497;0,005453;0,000000
2;-0,229031;0,896030;0,104118;3,147835;4125,000000;1489771426,825114;0,460308;0,040000;0,300000;0,081471;0,022647;0,537750;0,001597;0,003333;0,000000
3;-0,230784;0,902240;0,110903;3,130542;4125,000000;1513096313,072745;0,444307;0,040000;0,300000;0,089972;0,020931;0,580000;0,005348;0,003530;0,000000
4;-0,228627;0,901840;0,100063;3,134205;4125,000000;1506463895,480776;0,444500;0,040000;0,300000;0,079737;0,020325;0,528239;0,000000;0,001807;0,000000
5;-0,229974;0,910010;0,101924;3,081639;4125,000000;1601514348,073737;0,424027;0,040000;0,300000;0,088086;0,013837;0,523297;0,007797;0,005581;0,000000
6;-0,227519;0,915290;0,089375;3,035668;4125,000000;1689077429,623850;0,398153;0,040000;0,300000;0,079325;0,010050;0,492929;0,003597;0,003112;0,000000
7;-0,226697;0,911170;0,088572;3,058141;4125,000000;1652043900,740816;0,416153;0,040000;0,300000;0,073637;0,014936;0,482422;0,004918;0,005097;0,000000
8;-0,228248;0,906610;0,097537;3,085681;4125,000000;1599405040,626550;0,419782;0,040000;0,300000;0,082430;0,015107;0,507881;0,000000;0,006623;0,000000
9;-0,229131;0,922760;0,099170;3,007870;4125,000000;1734740961,499079;0,381362;0,040000;0,300000;0,088107;0,011063;0,530973;0,007663;0,008255;0,000000
10;-0,226597;0,923800;0,084677;3,000000;4125,000000;1763322163,736718;0,384910;0,040000;0,300000;0,077823;0,006855;0,485849;0,004000;0,002372;0,000000
11;-0,229523;0,909410;0,106225;3,085699;4125,000000;1594528063,826623;0,422999;0,040000;0,300000;0,086265;0,019959;0,533929;0,012500;0,007866;0,000000
12;-0,230112;0,909220;0,102941;3,085194;4125,000000;1596445746,218069;0,427114;0,040000;0,300000;0,089238;0,013703;0,535135;0,005435;0,007641;0,000000
13;-0,230107;0,932230;0,103542;3,000000;4125,000000;1798915669,452435;0,382122;0,040000;0,300000;0,094460;0,009083;0,543424;0,005682;0,008706;0,000000
14;-0,230360;0,911860;0,105882;3,064017;4125,000000;1630550647,081044;0,402241;0,040000;0,300000;0,091349;0,014533;0,539568;0,001931;0,004980;0,000000
15;-0,229080;0,918850;0,100790;3,036835;4125,000000;1679121982,662875;0,389139;0,040000;0,300000;0,085747;0,015043;0,523046;0,003711;0,005488;0,000000
16;-0,231204;0,886840;0,121945;3,193933;4125,000000;1396011616,169181;0,474903;0,040000;0,300000;0,090440;0,031505;0,590848;0,008547;0,003234;0,000000
17;-0,231803;0,912160;0,112259;3,078121;4125,000000;1601700124,335184;0,432469;0,040000;0,300000;0,095386;0,016873;0,556326;0,000000;0,004897;0,000000
18;-0,227846;0,887570;0,105133;3,175442;4125,000000;1443899293,498334;0,471447;0,040000;0,300000;0,074389;0,030744;0,560000;0,001410;0,003110;0,000000
19;-0,229468;0,922910;0,099682;3,009614;4125,000000;1728355367,794848;0,393753;0,040000;0,300000;0,089357;0,010326;0,543860;0,000000;0,003390;0,000000
20;-0,228966;0,919430;0,097091;3,029264;4125,000000;1691674523,314238;0,401931;0,040000;0,300000;0,085757;0,011334;0,515213;0,002049;0,002183;0,000000
21;-0,228034;0,925730;0,092646;3,000000;4125,000000;1760631174,614110;0,376576;0,040000;0,300000;0,085168;0,007478;0,494407;0,001908;0,001258;0,000000
22;-0,227398;0,911700;0,088083;3,069690;4125,000000;1630850079,070371;0,426281;0,040000;0,300000;0,077029;0,011054;0,452555;0,001724;0,006270;0,000000
23;-0,228385;0,910740;0,095956;3,076817;4125,000000;1611298101,209332;0,431328;0,040000;0,300000;0,080535;0,015422;0,516981;0,003454;0,003964;0,000000
24;-0,228173;0,919360;0,096541;3,024557;4125,000000;1705033354,575206;0,393992;0,040000;0,300000;0,083998;0,012543;0,480620;0,004228;0,004310;0,000000
25;-0,228588;0,895660;0,104614;3,144208;4125,000000;1486040986,302069;0,443897;0,040000;0,300000;0,082574;0,022039;0,558400;0,002920;0,004244;0,000000
26;-0,228225;0,926840;0,093210;3,003981;4125,000000;1738929264,411402;0,393906;0,040000;0,300000;0,083509;0,009701;0,491726;0,008282;0,010883;0,000000
27;-0,230248;0,887060;0,118551;3,182136;4125,000000;1422519034,144198;0,459977;0,040000;0,300000;0,086443;0,032108;0,566443;0,004431;0,005673;0,000000
28;-0,229049;0,921860;0,097190;3,020108;4125,000000;1704458427,549258;0,400222;0,040000;0,300000;0,087432;0,009758;0,533186;0,006110;0,005531;0,000000
29;-0,230572;0,917640;0,107840;3,031727;4125,000000;1688037856,842063;0,404693;0,040000;0,300000;0,092381;0,015458;0,518784;0,000000;0,003236;0,000000
30;-0,230773;0,909370;0,113284;3,086855;4125,000000;1589140131,092993;0,429663;0,040000;0,300000;0,091032;0,022252;0,558574;0,005525;0,004004;0,000000
