Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto
46;-0,117655;0,093840;0,154241;4,573189;6035,897606;-7981090484,946190;0,002901;0,040000;0,792153;0,064477;0,089764;0,634146;0,482670;0,127342;0,023411;0,004091;0,003755
47;-0,077262;0,077470;0,131629;4,640224;6181,537931;-8577061773,458622;0,002365;0,040000;0,988091;0,047399;0,084231;0,630662;0,428845;0,098105;0,015050;0,001364;0,003750
48;-0,108491;0,091000;0,152426;4,584128;6062,464744;-8024208513,010277;0,003498;0,040000;0,825244;0,055483;0,096943;0,689046;0,496463;0,117318;0,026667;0,000909;0,001250
49;-0,065724;0,072920;0,123086;4,657400;6231,836691;-8687238318,196642;0,003673;0,040000;1,040358;0,042707;0,080379;0,650177;0,410486;0,085899;0,011667;0,001364;0,001250
50;-0,104424;0,087670;0,144802;4,586040;6085,888244;-8039781638,736170;0,002211;0,040000;0,831290;0,055259;0,089543;0,591696;0,489744;0,109546;0,013423;0,001364;0,000000
51;-0,091233;0,082350;0,140413;4,611232;6131,143798;-8291801434,246979;0,003132;0,040000;0,902346;0,049824;0,090589;0,647059;0,454545;0,108807;0,011667;0,001364;0,000000
52;-0,088969;0,081740;0,136396;4,616100;6136,032969;-8318281816,469796;0,004322;0,040000;0,914656;0,050468;0,085927;0,580071;0,456633;0,103525;0,010033;0,001818;0,001253
53;-0,122274;0,094740;0,157237;4,553746;6032,533927;-7736209522,421527;0,004368;0,040000;0,737890;0,061523;0,095714;0,649485;0,507386;0,126594;0,016750;0,001364;0,001250
54;-0,067155;0,072670;0,124547;4,645834;6231,011896;-8482596330,778029;0,003780;0,040000;0,998881;0,039198;0,085349;0,587413;0,418263;0,090909;0,003350;0,000455;0,003755
55;-0,101192;0,085990;0,141445;4,589534;6097,895023;-8027980476,916867;0,003644;0,040000;0,833245;0,053773;0,087672;0,673611;0,458922;0,106935;0,018425;0,000455;0,003750
56;-0,078335;0,077280;0,128554;4,630121;6179,774997;-8403394798,945142;0,003769;0,040000;0,953988;0,045473;0,083081;0,630282;0,434558;0,091680;0,003333;0,001818;0,006250
57;-0,140201;0,105560;0,172960;4,535945;5969,950507;-7598644058,291461;0,003109;0,040000;0,691484;0,070679;0,102282;0,686411;0,521516;0,149294;0,046745;0,003636;0,002500
58;-0,117262;0,093450;0,157396;4,567215;6043,486820;-7853745071,340696;0,002664;0,040000;0,774955;0,059754;0,097642;0,601399;0,514414;0,127959;0,013356;0,001818;0,002500
59;-0,122808;0,095530;0,157549;4,553798;6031,074480;-7677670250,628949;0,004331;0,040000;0,733905;0,061365;0,096185;0,677193;0,499354;0,128239;0,026711;0,000909;0,003750
60;-0,101506;0,086340;0,145575;4,594923;6092,797608;-8143041689,754090;0,002535;0,040000;0,851411;0,055371;0,090204;0,672414;0,479286;0,109448;0,006667;0,001365;0,002500
61;-0,033786;0,060390;0,105972;4,709681;6390,654711;-9166419576,892212;0,002270;0,040000;1,219730;0,032274;0,073698;0,592334;0,354921;0,070457;0,006667;0,001364;0,002503
62;-0,104224;0,087630;0,142814;4,586464;6084,146628;-8074536548,918818;0,003821;0,040000;0,832227;0,056178;0,086636;0,628472;0,470284;0,109375;0,021703;0,001818;0,000000
63;-0,031575;0,060610;0,102337;4,714202;6402,724592;-9157591682,176521;0,005084;0,040000;1,232489;0,031728;0,070608;0,602787;0,343730;0,066190;0,005000;0,001819;0,000000
64;-0,023219;0,058450;0,101206;4,739622;6449,266575;-9539851255,904026;0,003319;0,040000;1,334100;0,033367;0,067839;0,595819;0,360406;0,055704;0,011686;0,002273;0,007500
65;-0,087217;0,079320;0,133562;4,611610;6152,065667;-8183136305,569486;0,003168;0,040000;0,893132;0,048247;0,085314;0,614583;0,428205;0,103995;0,016667;0,002274;0,000000
66;-0,045162;0,063720;0,109133;4,687430;6332,884036;-8916712609,222033;0,002208;0,040000;1,135608;0,035908;0,073225;0,547368;0,381587;0,071349;0,005017;0,002274;0,000000
67;-0,148198;0,120760;0,191049;4,533366;5951,430439;-7507877795,949421;0,003541;0,040000;0,673394;0,073247;0,117802;0,663158;0,557990;0,182572;0,025042;0,001365;0,003750
68;-0,057701;0,069560;0,118719;4,668334;6265,698521;-8767876564,271296;0,003753;0,040000;1,075405;0,038264;0,080455;0,636986;0,388356;0,083538;0,006678;0,002727;0,002500
69;-0,059170;0,070310;0,121554;4,667903;6259,457000;-8751370379,866734;0,002294;0,040000;1,071664;0,039143;0,082411;0,636364;0,396431;0,086753;0,008347;0,003182;0,003750
70;-0,163801;0,147370;0,200404;4,523429;5886,730092;-7452521852,861597;0,003902;0,040000;0,650626;0,075416;0,124987;0,650177;0,557198;0,204251;0,021776;0,002274;0,003750
71;-0,100757;0,086560;0,143188;4,596804;6094,368486;-8113486149,243853;0,003463;0,040000;0,854535;0,055220;0,087969;0,610526;0,472133;0,111384;0,010033;0,001364;0,002500
72;-0,112864;0,091150;0,151472;4,571411;6057,036167;-7933148819,993934;0,003196;0,040000;0,791748;0,058290;0,093183;0,678445;0,487821;0,117345;0,025000;0,003183;0,002500
73;-0,176419;0,171940;0,208788;4,510082;5792,579363;-7321703510,012510;0,003690;0,040000;0,625750;0,075556;0,133232;0,651568;0,590439;0,212718;0,018364;0,001364;0,002500
74;-0,053050;0,067000;0,111704;4,677346;6298,939892;-8833064950,203040;0,001678;0,040000;1,100199;0,040757;0,070947;0,611888;0,373731;0,075754;0,005000;0,001818;0,000000
75;-0,077060;0,075820;0,125843;4,635012;6191,535158;-8463537998,706879;0,002044;0,040000;0,965642;0,047820;0,078023;0,593750;0,421456;0,091518;0,006678;0,001364;0,002500
76;-0,044281;0,065030;0,112352;4,695759;6331,304104;-9079282415,885810;0,002768;0,040000;1,172125;0,036009;0,076343;0,589041;0,381529;0,074091;0,016667;0,001819;0,000000
77;-0,107124;0,089020;0,148634;4,582403;6070,379795;-8009586536,419200;0,002786;0,040000;0,821796;0,055763;0,092871;0,603571;0,488818;0,116004;0,026756;0,001364;0,002500
78;-0,031774;0,059580;0,104031;4,714826;6399,255924;-9226938593,113678;0,001596;0,040000;1,239537;0,032265;0,071766;0,613793;0,343710;0,068227;0,010000;0,001364;0,001250
79;-0,111770;0,089960;0,145135;4,571005;6066,623268;-7845528227,487852;0,004143;0,040000;0,779360;0,059346;0,085789;0,656250;0,480310;0,110217;0,013356;0,001364;0,001252
80;-0,159751;0,144280;0,193698;4,523745;5904,594386;-7440175509,305656;0,004085;0,040000;0,654498;0,072107;0,121592;0,653979;0,548283;0,192755;0,025084;0,001818;0,002500
81;-0,093832;0,083310;0,138452;4,604322;6124,281579;-8210479746,762264;0,003083;0,040000;0,881687;0,051592;0,086860;0,669039;0,456298;0,103809;0,013333;0,000910;0,000000
82;-0,064947;0,072010;0,119831;4,662051;6233,093723;-8810476435,086834;0,003151;0,040000;1,059720;0,045980;0,073850;0,609589;0,407928;0,080731;0,008333;0,000909;0,007509
83;-0,105116;0,087240;0,146602;4,579342;6083,433007;-7926811592,786654;0,004365;0,040000;0,808744;0,052228;0,094374;0,637011;0,462428;0,120509;0,018333;0,000910;0,002500
